CUDA_DEVICE=/dev/nvidia/0
Sat Jul  5 17:37:22 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.124.06             Driver Version: 570.124.06     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          Off |   00000000:DB:00.0 Off |                    0 |
| N/A   37C    P0             61W /  400W |       1MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Module load: anaconda/3-2023.07-2
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/condabin/conda
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/bin/conda
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/bin/conda-env
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/bin/activate
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/bin/deactivate
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/etc/profile.d/conda.sh
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/etc/fish/conf.d/conda.fish
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/shell/condabin/Conda.psm1
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/shell/condabin/conda-hook.ps1
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/lib/python3.11/site-packages/xontrib/conda.xsh
no change     /opt/modules/library/cpu/anaconda/3-2023.07-2/etc/profile.d/conda.csh
no change     /home/aaron.dichoso/.bashrc
No action taken.
/home/aaron.dichoso/.conda/envs/OCETraining/lib/python3.13/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/aaron.dichoso/.conda/envs/OCETraining/lib/python3.13/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet50_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet50_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
/home/aaron.dichoso/.conda/envs/OCETraining/lib/python3.13/site-packages/torch/utils/data/dataloader.py:626: UserWarning: This DataLoader will create 12 worker processes in total. Our suggested max number of worker in current system is 8, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
/home/aaron.dichoso/.conda/envs/OCETraining/lib/python3.13/site-packages/torch/optim/lr_scheduler.py:182: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
CuDNN 90501
TORCH 2.7.1+cu126
CUDA 12.6
Ikou!
Generator learning rate: 2.5e-05
Discriminator learning rate: 1e-05
/scratch1/aaron.dichoso/Networks/OCENet/model/ResNet_models.py:66: UserWarning: `nn.functional.upsample` is deprecated. Use `nn.functional.interpolate` instead.
  self.sal_init = F.upsample(self.sal_init, size=(x.shape[2], x.shape[3]), mode='bilinear', align_corners=True)
/scratch1/aaron.dichoso/Networks/OCENet/model/ResNet_models.py:67: UserWarning: `nn.functional.upsample` is deprecated. Use `nn.functional.interpolate` instead.
  self.sal_ref = F.upsample(self.sal_ref, size=(x.shape[2], x.shape[3]), mode='bilinear', align_corners=True)
/home/aaron.dichoso/.conda/envs/OCETraining/lib/python3.13/site-packages/torch/nn/_reduction.py:51: UserWarning: size_average and reduce args will be deprecated, please use reduction='mean' instead.
  warnings.warn(warning.format(ret))
2025-07-05 17:40:22.774607 Epoch [001/050], Step [0010/0575], COD Loss: 1.0968, OCE Loss: 0.7807
2025-07-05 18:50:38.961401 Epoch [003/050], Step [0470/0575], COD Loss: 0.3127, OCE Loss: 0.0793
2025-07-05 18:51:05.429280 Epoch [003/050], Step [0480/0575], COD Loss: 0.3340, OCE Loss: 0.0816
2025-07-05 18:51:32.085857 Epoch [003/050], Step [0490/0575], COD Loss: 0.3683, OCE Loss: 0.0856
2025-07-05 18:51:58.601772 Epoch [003/050], Step [0500/0575], COD Loss: 0.4122, OCE Loss: 0.0872
2025-07-05 18:52:25.101641 Epoch [003/050], Step [0510/0575], COD Loss: 0.4138, OCE Loss: 0.0888
2025-07-05 18:52:51.597079 Epoch [003/050], Step [0520/0575], COD Loss: 0.4128, OCE Loss: 0.0876
2025-07-05 18:53:18.091371 Epoch [003/050], Step [0530/0575], COD Loss: 0.4015, OCE Loss: 0.0861
2025-07-05 18:53:44.592789 Epoch [003/050], Step [0540/0575], COD Loss: 0.3847, OCE Loss: 0.0846
2025-07-05 18:54:11.103016 Epoch [003/050], Step [0550/0575], COD Loss: 0.3776, OCE Loss: 0.0838
2025-07-05 18:54:37.411785 Epoch [003/050], Step [0560/0575], COD Loss: 0.3756, OCE Loss: 0.0829
2025-07-05 18:55:03.592369 Epoch [003/050], Step [0570/0575], COD Loss: 0.3837, OCE Loss: 0.0822
2025-07-05 18:55:16.585511 Epoch [003/050], Step [0575/0575], COD Loss: 0.3938, OCE Loss: 0.0822
Generator learning rate: 2.5e-05
Discriminator learning rate: 1e-05
2025-07-05 18:55:48.989047 Epoch [004/050], Step [0010/0575], COD Loss: 0.7479, OCE Loss: 0.0904
2025-07-05 18:56:15.363093 Epoch [004/050], Step [0020/0575], COD Loss: 0.6747, OCE Loss: 0.0932
2025-07-05 18:56:41.681099 Epoch [004/050], Step [0030/0575], COD Loss: 0.6189, OCE Loss: 0.0915
2025-07-05 18:57:08.170687 Epoch [004/050], Step [0040/0575], COD Loss: 0.5839, OCE Loss: 0.0893
2025-07-05 18:57:34.736601 Epoch [004/050], Step [0050/0575], COD Loss: 0.5071, OCE Loss: 0.0871
2025-07-05 18:58:01.250969 Epoch [004/050], Step [0060/0575], COD Loss: 0.4881, OCE Loss: 0.0833
2025-07-05 18:58:27.642910 Epoch [004/050], Step [0070/0575], COD Loss: 0.4742, OCE Loss: 0.0798
2025-07-05 18:58:54.088765 Epoch [004/050], Step [0080/0575], COD Loss: 0.4808, OCE Loss: 0.0920
2025-07-05 18:59:20.596123 Epoch [004/050], Step [0090/0575], COD Loss: 0.4897, OCE Loss: 0.1059
2025-07-05 18:59:47.106749 Epoch [004/050], Step [0100/0575], COD Loss: 0.4538, OCE Loss: 0.1157
2025-07-05 19:00:13.796264 Epoch [004/050], Step [0110/0575], COD Loss: 0.5003, OCE Loss: 0.1270
2025-07-05 19:00:40.390741 Epoch [004/050], Step [0120/0575], COD Loss: 0.5375, OCE Loss: 0.1155
2025-07-05 19:01:06.948242 Epoch [004/050], Step [0130/0575], COD Loss: 0.5379, OCE Loss: 0.0991
2025-07-05 19:01:33.592368 Epoch [004/050], Step [0140/0575], COD Loss: 0.5508, OCE Loss: 0.0853
2025-07-05 19:02:00.047407 Epoch [004/050], Step [0150/0575], COD Loss: 0.5196, OCE Loss: 0.0708
2025-07-05 19:02:26.632142 Epoch [004/050], Step [0160/0575], COD Loss: 0.4523, OCE Loss: 0.0634
2025-07-05 19:02:53.402307 Epoch [004/050], Step [0170/0575], COD Loss: 0.4265, OCE Loss: 0.0603
2025-07-05 19:03:20.026685 Epoch [004/050], Step [0180/0575], COD Loss: 0.4349, OCE Loss: 0.0652
2025-07-05 19:03:46.549527 Epoch [004/050], Step [0190/0575], COD Loss: 0.4950, OCE Loss: 0.0747
2025-07-05 19:04:13.276290 Epoch [004/050], Step [0200/0575], COD Loss: 0.5700, OCE Loss: 0.0832
2025-07-05 19:04:40.020236 Epoch [004/050], Step [0210/0575], COD Loss: 0.6307, OCE Loss: 0.0880
2025-07-05 19:05:06.750977 Epoch [004/050], Step [0220/0575], COD Loss: 0.6602, OCE Loss: 0.0855
2025-07-05 19:05:33.658126 Epoch [004/050], Step [0230/0575], COD Loss: 0.6238, OCE Loss: 0.0782
2025-07-05 19:06:00.416051 Epoch [004/050], Step [0240/0575], COD Loss: 0.6096, OCE Loss: 0.0727
2025-07-05 19:06:27.082831 Epoch [004/050], Step [0250/0575], COD Loss: 0.6098, OCE Loss: 0.0706
2025-07-05 19:06:53.721407 Epoch [004/050], Step [0260/0575], COD Loss: 0.6217, OCE Loss: 0.0707
2025-07-05 19:07:20.375631 Epoch [004/050], Step [0270/0575], COD Loss: 0.6113, OCE Loss: 0.0735
2025-07-05 19:07:47.014146 Epoch [004/050], Step [0280/0575], COD Loss: 0.6282, OCE Loss: 0.0840
2025-07-05 19:08:13.663641 Epoch [004/050], Step [0290/0575], COD Loss: 0.6384, OCE Loss: 0.0931
2025-07-05 19:08:40.474676 Epoch [004/050], Step [0300/0575], COD Loss: 0.6462, OCE Loss: 0.1085
2025-07-05 19:09:07.041732 Epoch [004/050], Step [0310/0575], COD Loss: 0.6156, OCE Loss: 0.1036
2025-07-05 19:09:33.665512 Epoch [004/050], Step [0320/0575], COD Loss: 0.5495, OCE Loss: 0.0900
2025-07-05 19:10:00.369734 Epoch [004/050], Step [0330/0575], COD Loss: 0.4951, OCE Loss: 0.0781
2025-07-05 19:10:27.030082 Epoch [004/050], Step [0340/0575], COD Loss: 0.4434, OCE Loss: 0.0634
2025-07-05 19:10:53.633935 Epoch [004/050], Step [0350/0575], COD Loss: 0.4360, OCE Loss: 0.0648
2025-07-05 19:11:20.437615 Epoch [004/050], Step [0360/0575], COD Loss: 0.4160, OCE Loss: 0.0657
2025-07-05 19:11:47.068390 Epoch [004/050], Step [0370/0575], COD Loss: 0.3963, OCE Loss: 0.0665
2025-07-05 19:12:13.746827 Epoch [004/050], Step [0380/0575], COD Loss: 0.3812, OCE Loss: 0.0631
2025-07-05 19:12:40.441276 Epoch [004/050], Step [0390/0575], COD Loss: 0.3740, OCE Loss: 0.0630
2025-07-05 19:13:07.028227 Epoch [004/050], Step [0400/0575], COD Loss: 0.3833, OCE Loss: 0.0629
2025-07-05 19:13:33.632544 Epoch [004/050], Step [0410/0575], COD Loss: 0.3971, OCE Loss: 0.0598
2025-07-05 19:14:00.287810 Epoch [004/050], Step [0420/0575], COD Loss: 0.3629, OCE Loss: 0.0562
2025-07-05 19:14:26.895173 Epoch [004/050], Step [0430/0575], COD Loss: 0.3292, OCE Loss: 0.0501
2025-07-05 19:14:53.547725 Epoch [004/050], Step [0440/0575], COD Loss: 0.3012, OCE Loss: 0.0466
2025-07-05 19:15:20.108809 Epoch [004/050], Step [0450/0575], COD Loss: 0.2636, OCE Loss: 0.0433
2025-07-05 19:15:46.707178 Epoch [004/050], Step [0460/0575], COD Loss: 0.2642, OCE Loss: 0.0430
2025-07-05 19:16:13.365055 Epoch [004/050], Step [0470/0575], COD Loss: 0.3003, OCE Loss: 0.0442
2025-07-05 19:16:39.935624 Epoch [004/050], Step [0480/0575], COD Loss: 0.3191, OCE Loss: 0.0474
2025-07-05 19:17:06.690741 Epoch [004/050], Step [0490/0575], COD Loss: 0.3464, OCE Loss: 0.0525
2025-07-05 19:17:33.302535 Epoch [004/050], Step [0500/0575], COD Loss: 0.3836, OCE Loss: 0.0546
2025-07-05 19:17:59.809432 Epoch [004/050], Step [0510/0575], COD Loss: 0.3870, OCE Loss: 0.0570
2025-07-05 19:18:26.281038 Epoch [004/050], Step [0520/0575], COD Loss: 0.3870, OCE Loss: 0.0563
2025-07-05 19:18:52.760509 Epoch [004/050], Step [0530/0575], COD Loss: 0.3783, OCE Loss: 0.0551
2025-07-05 19:19:19.249338 Epoch [004/050], Step [0540/0575], COD Loss: 0.3669, OCE Loss: 0.0545
2025-07-05 19:19:45.880697 Epoch [004/050], Step [0550/0575], COD Loss: 0.3584, OCE Loss: 0.0539
2025-07-05 19:20:12.089496 Epoch [004/050], Step [0560/0575], COD Loss: 0.3573, OCE Loss: 0.0534
2025-07-05 19:20:38.240384 Epoch [004/050], Step [0570/0575], COD Loss: 0.3686, OCE Loss: 0.0535
2025-07-05 19:20:51.256761 Epoch [004/050], Step [0575/0575], COD Loss: 0.3773, OCE Loss: 0.0538
Generator learning rate: 2.5e-05
Discriminator learning rate: 1e-05
2025-07-05 19:21:23.285009 Epoch [005/050], Step [0010/0575], COD Loss: 0.7033, OCE Loss: 0.0632
2025-07-05 19:21:49.752284 Epoch [005/050], Step [0020/0575], COD Loss: 0.6252, OCE Loss: 0.0649
2025-07-05 19:22:16.226266 Epoch [005/050], Step [0030/0575], COD Loss: 0.5747, OCE Loss: 0.0635
2025-07-05 19:22:42.861775 Epoch [005/050], Step [0040/0575], COD Loss: 0.5405, OCE Loss: 0.0617
2025-07-05 19:23:09.353667 Epoch [005/050], Step [0050/0575], COD Loss: 0.4680, OCE Loss: 0.0600
2025-07-05 19:23:35.863210 Epoch [005/050], Step [0060/0575], COD Loss: 0.4523, OCE Loss: 0.0570
2025-07-05 19:24:02.387104 Epoch [005/050], Step [0070/0575], COD Loss: 0.4383, OCE Loss: 0.0539
2025-07-05 19:24:28.822627 Epoch [005/050], Step [0080/0575], COD Loss: 0.4560, OCE Loss: 0.0692
2025-07-05 19:24:55.261189 Epoch [005/050], Step [0090/0575], COD Loss: 0.4687, OCE Loss: 0.0850
2025-07-05 19:25:21.791471 Epoch [005/050], Step [0100/0575], COD Loss: 0.4362, OCE Loss: 0.0950
2025-07-05 19:25:48.357752 Epoch [005/050], Step [0110/0575], COD Loss: 0.4835, OCE Loss: 0.1076
2025-07-05 19:26:14.948115 Epoch [005/050], Step [0120/0575], COD Loss: 0.5168, OCE Loss: 0.0941
2025-07-05 19:26:41.415408 Epoch [005/050], Step [0130/0575], COD Loss: 0.5139, OCE Loss: 0.0762
2025-07-05 19:27:07.906526 Epoch [005/050], Step [0140/0575], COD Loss: 0.5327, OCE Loss: 0.0631
2025-07-05 19:27:34.400208 Epoch [005/050], Step [0150/0575], COD Loss: 0.5093, OCE Loss: 0.0482
2025-07-05 19:28:00.883164 Epoch [005/050], Step [0160/0575], COD Loss: 0.4416, OCE Loss: 0.0406
2025-07-05 19:28:27.620043 Epoch [005/050], Step [0170/0575], COD Loss: 0.4179, OCE Loss: 0.0379
2025-07-05 19:28:54.094921 Epoch [005/050], Step [0180/0575], COD Loss: 0.4244, OCE Loss: 0.0434
2025-07-05 19:29:20.519400 Epoch [005/050], Step [0190/0575], COD Loss: 0.4737, OCE Loss: 0.0534
2025-07-05 19:29:46.971014 Epoch [005/050], Step [0200/0575], COD Loss: 0.5428, OCE Loss: 0.0628
2025-07-05 19:30:13.441071 Epoch [005/050], Step [0210/0575], COD Loss: 0.6072, OCE Loss: 0.0692
2025-07-05 19:30:39.907934 Epoch [005/050], Step [0220/0575], COD Loss: 0.6359, OCE Loss: 0.0674
2025-07-05 19:31:06.475241 Epoch [005/050], Step [0230/0575], COD Loss: 0.6127, OCE Loss: 0.0611
2025-07-05 19:31:32.953237 Epoch [005/050], Step [0240/0575], COD Loss: 0.5988, OCE Loss: 0.0557
2025-07-05 19:31:59.550447 Epoch [005/050], Step [0250/0575], COD Loss: 0.6012, OCE Loss: 0.0534
2025-07-05 19:32:26.009452 Epoch [005/050], Step [0260/0575], COD Loss: 0.6144, OCE Loss: 0.0540
2025-07-05 19:32:52.461914 Epoch [005/050], Step [0270/0575], COD Loss: 0.5986, OCE Loss: 0.0570
2025-07-05 19:33:18.930981 Epoch [005/050], Step [0280/0575], COD Loss: 0.6202, OCE Loss: 0.0695
2025-07-05 19:33:45.484532 Epoch [005/050], Step [0290/0575], COD Loss: 0.6264, OCE Loss: 0.0801
2025-07-05 19:34:12.009429 Epoch [005/050], Step [0300/0575], COD Loss: 0.6350, OCE Loss: 0.0977
2025-07-05 19:34:38.529631 Epoch [005/050], Step [0310/0575], COD Loss: 0.6021, OCE Loss: 0.0925
2025-07-05 19:35:04.993675 Epoch [005/050], Step [0320/0575], COD Loss: 0.5388, OCE Loss: 0.0773
2025-07-05 19:35:31.471404 Epoch [005/050], Step [0330/0575], COD Loss: 0.4837, OCE Loss: 0.0639
2025-07-05 19:35:57.924759 Epoch [005/050], Step [0340/0575], COD Loss: 0.4297, OCE Loss: 0.0471
2025-07-05 19:36:24.406871 Epoch [005/050], Step [0350/0575], COD Loss: 0.4242, OCE Loss: 0.0488
2025-07-05 19:36:51.053214 Epoch [005/050], Step [0360/0575], COD Loss: 0.4051, OCE Loss: 0.0501
2025-07-05 19:37:17.594218 Epoch [005/050], Step [0370/0575], COD Loss: 0.3863, OCE Loss: 0.0515
2025-07-05 19:37:44.038619 Epoch [005/050], Step [0380/0575], COD Loss: 0.3720, OCE Loss: 0.0482
2025-07-05 19:38:10.445439 Epoch [005/050], Step [0390/0575], COD Loss: 0.3669, OCE Loss: 0.0486
2025-07-05 19:38:36.924621 Epoch [005/050], Step [0400/0575], COD Loss: 0.3742, OCE Loss: 0.0487
2025-07-05 19:39:03.353006 Epoch [005/050], Step [0410/0575], COD Loss: 0.3835, OCE Loss: 0.0455
2025-07-05 19:39:29.939931 Epoch [005/050], Step [0420/0575], COD Loss: 0.3485, OCE Loss: 0.0416
2025-07-05 19:39:56.434324 Epoch [005/050], Step [0430/0575], COD Loss: 0.3126, OCE Loss: 0.0350
2025-07-05 19:40:22.961871 Epoch [005/050], Step [0440/0575], COD Loss: 0.2865, OCE Loss: 0.0314
2025-07-05 19:40:49.463906 Epoch [005/050], Step [0450/0575], COD Loss: 0.2541, OCE Loss: 0.0284
2025-07-05 19:41:15.995229 Epoch [005/050], Step [0460/0575], COD Loss: 0.2560, OCE Loss: 0.0285
2025-07-05 19:41:42.490269 Epoch [005/050], Step [0470/0575], COD Loss: 0.2922, OCE Loss: 0.0304
2025-07-05 19:42:09.112755 Epoch [005/050], Step [0480/0575], COD Loss: 0.3060, OCE Loss: 0.0340
2025-07-05 19:42:35.616094 Epoch [005/050], Step [0490/0575], COD Loss: 0.3323, OCE Loss: 0.0396
2025-07-05 19:43:02.067209 Epoch [005/050], Step [0500/0575], COD Loss: 0.3729, OCE Loss: 0.0425
2025-07-05 19:43:28.535296 Epoch [005/050], Step [0510/0575], COD Loss: 0.3763, OCE Loss: 0.0450
2025-07-05 19:43:54.995166 Epoch [005/050], Step [0520/0575], COD Loss: 0.3770, OCE Loss: 0.0445
2025-07-05 19:44:21.511421 Epoch [005/050], Step [0530/0575], COD Loss: 0.3677, OCE Loss: 0.0435
2025-07-05 19:44:48.020742 Epoch [005/050], Step [0540/0575], COD Loss: 0.3513, OCE Loss: 0.0426
2025-07-05 19:45:14.721499 Epoch [005/050], Step [0550/0575], COD Loss: 0.3452, OCE Loss: 0.0424
2025-07-05 19:45:40.911270 Epoch [005/050], Step [0560/0575], COD Loss: 0.3493, OCE Loss: 0.0426
2025-07-05 19:46:07.051583 Epoch [005/050], Step [0570/0575], COD Loss: 0.3587, OCE Loss: 0.0427
2025-07-05 19:46:20.041618 Epoch [005/050], Step [0575/0575], COD Loss: 0.3701, OCE Loss: 0.0434
Generator learning rate: 2.5e-05
Discriminator learning rate: 1e-05
2025-07-05 19:46:52.220688 Epoch [006/050], Step [0010/0575], COD Loss: 0.6694, OCE Loss: 0.0544
2025-07-05 19:47:18.683545 Epoch [006/050], Step [0020/0575], COD Loss: 0.5967, OCE Loss: 0.0556
2025-07-05 19:47:45.359445 Epoch [006/050], Step [0030/0575], COD Loss: 0.5436, OCE Loss: 0.0535
2025-07-05 19:48:11.809896 Epoch [006/050], Step [0040/0575], COD Loss: 0.5105, OCE Loss: 0.0516
2025-07-05 19:48:38.203309 Epoch [006/050], Step [0050/0575], COD Loss: 0.4403, OCE Loss: 0.0496
2025-07-05 19:49:04.625875 Epoch [006/050], Step [0060/0575], COD Loss: 0.4258, OCE Loss: 0.0468
2025-07-05 19:49:31.189383 Epoch [006/050], Step [0070/0575], COD Loss: 0.4148, OCE Loss: 0.0441
2025-07-05 19:49:57.617294 Epoch [006/050], Step [0080/0575], COD Loss: 0.4293, OCE Loss: 0.0589
2025-07-05 19:50:24.083419 Epoch [006/050], Step [0090/0575], COD Loss: 0.4445, OCE Loss: 0.0748
2025-07-05 19:50:50.619731 Epoch [006/050], Step [0100/0575], COD Loss: 0.4146, OCE Loss: 0.0853
2025-07-05 19:51:17.061210 Epoch [006/050], Step [0110/0575], COD Loss: 0.4650, OCE Loss: 0.0981
2025-07-05 19:51:43.595876 Epoch [006/050], Step [0120/0575], COD Loss: 0.5048, OCE Loss: 0.0856
2025-07-05 19:52:10.150649 Epoch [006/050], Step [0130/0575], COD Loss: 0.5023, OCE Loss: 0.0679
2025-07-05 19:52:36.662765 Epoch [006/050], Step [0140/0575], COD Loss: 0.5190, OCE Loss: 0.0546
2025-07-05 19:53:03.218882 Epoch [006/050], Step [0150/0575], COD Loss: 0.4975, OCE Loss: 0.0400
2025-07-05 19:53:29.881752 Epoch [006/050], Step [0160/0575], COD Loss: 0.4312, OCE Loss: 0.0323
2025-07-05 19:53:56.466763 Epoch [006/050], Step [0170/0575], COD Loss: 0.4100, OCE Loss: 0.0299
2025-07-05 19:54:23.057154 Epoch [006/050], Step [0180/0575], COD Loss: 0.4165, OCE Loss: 0.0355
2025-07-05 19:54:49.649901 Epoch [006/050], Step [0190/0575], COD Loss: 0.4540, OCE Loss: 0.0449
2025-07-05 19:55:16.195290 Epoch [006/050], Step [0200/0575], COD Loss: 0.5192, OCE Loss: 0.0547
2025-07-05 19:55:42.742195 Epoch [006/050], Step [0210/0575], COD Loss: 0.5796, OCE Loss: 0.0611
2025-07-05 19:56:09.430057 Epoch [006/050], Step [0220/0575], COD Loss: 0.6094, OCE Loss: 0.0598
2025-07-05 19:56:36.005901 Epoch [006/050], Step [0230/0575], COD Loss: 0.5884, OCE Loss: 0.0542
2025-07-05 19:57:02.547067 Epoch [006/050], Step [0240/0575], COD Loss: 0.5808, OCE Loss: 0.0491
2025-07-05 19:57:29.127947 Epoch [006/050], Step [0250/0575], COD Loss: 0.5849, OCE Loss: 0.0475
2025-07-05 19:57:55.722447 Epoch [006/050], Step [0260/0575], COD Loss: 0.5934, OCE Loss: 0.0480
2025-07-05 19:58:22.289845 Epoch [006/050], Step [0270/0575], COD Loss: 0.5842, OCE Loss: 0.0512
2025-07-05 19:58:48.901665 Epoch [006/050], Step [0280/0575], COD Loss: 0.6030, OCE Loss: 0.0648
2025-07-05 19:59:15.717861 Epoch [006/050], Step [0290/0575], COD Loss: 0.6093, OCE Loss: 0.0754
2025-07-05 19:59:42.336126 Epoch [006/050], Step [0300/0575], COD Loss: 0.6217, OCE Loss: 0.0932
2025-07-05 20:00:09.008948 Epoch [006/050], Step [0310/0575], COD Loss: 0.5861, OCE Loss: 0.0879
2025-07-05 20:00:35.624431 Epoch [006/050], Step [0320/0575], COD Loss: 0.5222, OCE Loss: 0.0714
2025-07-05 20:01:02.230963 Epoch [006/050], Step [0330/0575], COD Loss: 0.4679, OCE Loss: 0.0576
2025-07-05 20:01:28.872634 Epoch [006/050], Step [0340/0575], COD Loss: 0.4194, OCE Loss: 0.0413
2025-07-05 20:01:55.602610 Epoch [006/050], Step [0350/0575], COD Loss: 0.4184, OCE Loss: 0.0430
2025-07-05 20:02:22.210794 Epoch [006/050], Step [0360/0575], COD Loss: 0.4006, OCE Loss: 0.0445
2025-07-05 20:02:48.927676 Epoch [006/050], Step [0370/0575], COD Loss: 0.3833, OCE Loss: 0.0460
2025-07-05 20:03:15.729740 Epoch [006/050], Step [0380/0575], COD Loss: 0.3625, OCE Loss: 0.0420
2025-07-05 20:03:42.433225 Epoch [006/050], Step [0390/0575], COD Loss: 0.3547, OCE Loss: 0.0423
2025-07-05 20:04:09.106707 Epoch [006/050], Step [0400/0575], COD Loss: 0.3658, OCE Loss: 0.0431
2025-07-05 20:04:35.878890 Epoch [006/050], Step [0410/0575], COD Loss: 0.3721, OCE Loss: 0.0397
2025-07-05 20:05:02.554384 Epoch [006/050], Step [0420/0575], COD Loss: 0.3480, OCE Loss: 0.0364
2025-07-05 20:05:29.338150 Epoch [006/050], Step [0430/0575], COD Loss: 0.3179, OCE Loss: 0.0302
2025-07-05 20:05:56.045314 Epoch [006/050], Step [0440/0575], COD Loss: 0.2867, OCE Loss: 0.0259
2025-07-05 20:06:22.717305 Epoch [006/050], Step [0450/0575], COD Loss: 0.2511, OCE Loss: 0.0229
2025-07-05 20:06:49.465847 Epoch [006/050], Step [0460/0575], COD Loss: 0.2447, OCE Loss: 0.0226
2025-07-05 20:07:16.226316 Epoch [006/050], Step [0470/0575], COD Loss: 0.2729, OCE Loss: 0.0243
2025-07-05 20:07:43.102186 Epoch [006/050], Step [0480/0575], COD Loss: 0.2879, OCE Loss: 0.0279
2025-07-05 20:08:09.907193 Epoch [006/050], Step [0490/0575], COD Loss: 0.3164, OCE Loss: 0.0336
2025-07-05 20:08:36.716965 Epoch [006/050], Step [0500/0575], COD Loss: 0.3572, OCE Loss: 0.0370
2025-07-05 20:09:03.562964 Epoch [006/050], Step [0510/0575], COD Loss: 0.3676, OCE Loss: 0.0402
2025-07-05 20:09:30.402201 Epoch [006/050], Step [0520/0575], COD Loss: 0.3675, OCE Loss: 0.0397
2025-07-05 20:09:57.201007 Epoch [006/050], Step [0530/0575], COD Loss: 0.3621, OCE Loss: 0.0391
2025-07-05 20:10:24.154330 Epoch [006/050], Step [0540/0575], COD Loss: 0.3473, OCE Loss: 0.0385
2025-07-05 20:10:51.051754 Epoch [006/050], Step [0550/0575], COD Loss: 0.3371, OCE Loss: 0.0378
2025-07-05 20:11:17.561810 Epoch [006/050], Step [0560/0575], COD Loss: 0.3431, OCE Loss: 0.0383
2025-07-05 20:11:44.091607 Epoch [006/050], Step [0570/0575], COD Loss: 0.3504, OCE Loss: 0.0382
2025-07-05 20:11:57.247814 Epoch [006/050], Step [0575/0575], COD Loss: 0.3569, OCE Loss: 0.0383
Generator learning rate: 2.5e-05
Discriminator learning rate: 1e-05
2025-07-05 20:12:29.550696 Epoch [007/050], Step [0010/0575], COD Loss: 0.6334, OCE Loss: 0.0474
2025-07-05 20:12:56.123925 Epoch [007/050], Step [0020/0575], COD Loss: 0.5627, OCE Loss: 0.0496
2025-07-05 20:13:22.944177 Epoch [007/050], Step [0030/0575], COD Loss: 0.5246, OCE Loss: 0.0489
2025-07-05 20:13:49.647523 Epoch [007/050], Step [0040/0575], COD Loss: 0.4978, OCE Loss: 0.0473
2025-07-05 20:14:16.486430 Epoch [007/050], Step [0050/0575], COD Loss: 0.4344, OCE Loss: 0.0461
2025-07-05 20:14:43.274412 Epoch [007/050], Step [0060/0575], COD Loss: 0.4160, OCE Loss: 0.0428
2025-07-05 20:15:10.010397 Epoch [007/050], Step [0070/0575], COD Loss: 0.3957, OCE Loss: 0.0391
2025-07-05 20:15:36.858260 Epoch [007/050], Step [0080/0575], COD Loss: 0.4067, OCE Loss: 0.0543
2025-07-05 20:16:03.738768 Epoch [007/050], Step [0090/0575], COD Loss: 0.4239, OCE Loss: 0.0700
2025-07-05 20:16:30.665413 Epoch [007/050], Step [0100/0575], COD Loss: 0.4055, OCE Loss: 0.0814
2025-07-05 20:16:57.543336 Epoch [007/050], Step [0110/0575], COD Loss: 0.4601, OCE Loss: 0.0944
